Date,Open,High,Low,Close,Volume
2026-03-04,7620.0,7715.0,7476.0,7666.0,625428.0
2026-03-05,7700.0,7796.5,7635.0,7775.0,446578.0
2026-03-06,7770.0,7781.0,7669.0,7724.5,225749.0
2026-03-09,7588.0,7809.0,7556.0,7779.0,358612.0
2026-03-10,7865.0,7870.0,7770.0,7803.0,381453.0
2026-03-11,7770.5,7798.5,7659.0,7684.0,331690.0
2026-03-12,7590.0,7662.5,7542.5,7574.5,550020.0
2026-03-13,7556.0,7616.0,7485.5,7550.0,394082.0
2026-03-16,7565.0,7750.0,7410.0,7490.0,481339.0
2026-03-17,7490.0,7574.5,7470.0,7500.0,343558.0
2026-03-18,7511.5,7605.0,7455.5,7471.0,497712.0
2026-03-19,7407.0,7407.0,7229.0,7252.0,264884.0
2026-03-20,7231.5,7447.5,7202.5,7364.5,696455.0
2026-03-23,7288.0,7288.0,7080.0,7145.0,464969.0
2026-03-24,7210.0,7464.0,7199.0,7413.0,653790.0
2026-03-25,7461.0,7612.5,7437.5,7580.5,450043.0
2026-03-27,7510.0,7621.0,7510.0,7549.0,533512.0
2026-03-30,7470.0,7509.5,7360.5,7419.0,764508.0
2026-04-01,7549.0,7587.0,7250.5,7305.5,618068.0
2026-04-02,7150.5,7368.0,7150.5,7317.5,338111.0
2026-04-06,7350.0,7397.0,7243.0,7373.0,360086.0
