Date,Open,High,Low,Close,Volume
2026-03-04,12175.0,12500.0,11888.0,12107.0,394665.0
2026-03-05,12107.0,12330.0,12030.0,12288.0,284992.0
2026-03-06,12160.0,12208.0,11948.0,11987.0,296585.0
2026-03-09,11766.0,11808.0,11329.0,11378.0,590742.0
2026-03-10,11606.0,11759.0,11531.0,11654.0,460885.0
2026-03-11,11650.0,11663.0,11430.0,11462.0,231139.0
2026-03-12,11401.0,11405.0,11059.0,11089.0,535730.0
2026-03-13,11000.0,11000.0,10573.0,10616.0,723904.0
2026-03-16,10670.0,11151.0,10652.0,11099.0,728077.0
2026-03-17,11090.0,11160.0,10991.0,11116.0,332933.0
2026-03-18,11124.0,11287.0,11116.0,11247.0,211865.0
2026-03-19,11080.0,11132.0,10778.0,10814.0,283817.0
2026-03-20,10920.0,10974.0,10853.0,10934.0,365914.0
2026-03-23,10877.0,10877.0,10325.0,10362.0,644386.0
2026-03-24,10650.0,10867.0,10472.0,10764.0,369647.0
2026-03-25,10801.0,11236.0,10801.0,11204.0,456437.0
2026-03-27,11174.0,11174.0,10970.0,11049.0,418469.0
2026-03-30,10985.0,10990.0,10687.0,10745.0,632265.0
2026-04-01,10802.0,11112.0,10643.0,10714.0,431636.0
2026-04-02,10639.0,10663.0,10365.0,10620.0,333524.0
2026-04-06,10611.0,10976.0,10540.0,10955.0,374420.0
