Date,Open,High,Low,Close,Volume
2024-04-08,26069.19921875,26249.94921875,25844.400390625,25955.19921875,31828.0
2024-04-09,26199.0,26711.80078125,25880.099609375,25991.80078125,50143.0
2024-04-10,26000.0,26041.94921875,25551.0,25610.0,24321.0
2024-04-12,25699.0,25861.69921875,25201.44921875,25491.150390625,19756.0
2024-04-15,25316.0,25528.150390625,25002.0,25296.19921875,24121.0
2024-04-16,25248.19921875,25248.19921875,24798.55078125,24882.55078125,12999.0
2024-04-18,25090.0,25099.0,24367.0,24425.849609375,35792.0
2024-04-19,24390.0,24532.44921875,23984.05078125,24368.75,35614.0
2024-04-22,24533.900390625,24675.0,24356.849609375,24396.400390625,25584.0
2024-04-23,24570.0,24570.0,24300.0,24377.75,18872.0
2024-04-24,24500.0,24597.900390625,24300.0,24369.150390625,17535.0
2024-04-25,24451.0,24500.0,23780.0,23971.599609375,48298.0
2024-04-26,24040.0,24295.0,23951.0,24140.5,15713.0
2024-04-29,24250.25,24295.900390625,24050.0,24145.150390625,25281.0
2024-04-30,24175.0,25024.94921875,24175.0,24444.849609375,74531.0
2024-05-02,24499.94921875,25372.55078125,24472.150390625,24827.19921875,98202.0
2024-05-03,25000.0,25895.80078125,24927.900390625,25746.55078125,221844.0
2024-05-06,26100.0,26561.650390625,25105.0,25537.0,51843.0
2024-05-07,25575.0,25882.55078125,25054.849609375,25395.650390625,36812.0
2024-05-08,25444.19921875,25742.80078125,25160.5,25660.44921875,31956.0
2024-05-09,25700.650390625,25720.0,25420.80078125,25500.75,31751.0
2024-05-10,25600.0,25833.099609375,25377.0,25661.25,24366.0
2024-05-13,25798.55078125,26124.0,25592.05078125,25992.5,55302.0
2024-05-14,26050.0,26436.94921875,25630.0,26024.900390625,84461.0
2024-05-15,26800.05078125,26824.849609375,25645.80078125,25819.650390625,224481.0
2024-05-16,26097.400390625,26225.0,25505.0,25685.599609375,51248.0
2024-05-17,25710.05078125,26343.400390625,25466.25,26305.80078125,32325.0
2024-05-21,26120.0,26300.0,25640.25,25833.44921875,55405.0
2024-05-22,25950.0,25950.0,25520.400390625,25678.94921875,37478.0
2024-05-23,25851.0,25851.0,25425.05078125,25676.900390625,73090.0
2024-05-24,25650.099609375,25750.099609375,25405.0,25456.44921875,30382.0
2024-05-27,25500.0,25500.0,25255.099609375,25415.19921875,43246.0
2024-05-28,25489.94921875,25725.05078125,25412.75,25634.650390625,19032.0
2024-05-29,25452.0,25500.0,25185.349609375,25325.55078125,39946.0
2024-05-30,25322.25,25322.25,24700.099609375,25062.349609375,40445.0
2024-05-31,25227.30078125,25425.0,24604.44921875,24680.599609375,75751.0
2024-06-03,25200.0,25625.30078125,25088.099609375,25309.25,42209.0
2024-06-04,25350.0,25350.099609375,23700.0,24882.80078125,77396.0
2024-06-05,25194.94921875,25600.0,24862.0,25481.05078125,24620.0
2024-06-06,25555.0,25799.0,25435.0,25636.25,32684.0
2024-06-07,25700.0,26250.0,25511.19921875,26077.5,77513.0
2024-06-10,26296.0,27450.0,26078.0,27239.69921875,68197.0
2024-06-11,27239.69921875,27290.0,26816.69921875,27063.849609375,41867.0
2024-06-12,26890.099609375,27720.5,26890.099609375,27538.900390625,44979.0
2024-06-13,27504.0,27625.0,27186.400390625,27490.75,29976.0
2024-06-14,27491.0,28025.0,27421.44921875,27538.0,37314.0
2024-06-18,27682.0,27699.900390625,27263.25,27462.099609375,28615.0
2024-06-19,27480.0,27757.05078125,27086.19921875,27443.400390625,35730.0
2024-06-20,27490.0,27766.900390625,27343.849609375,27698.44921875,30646.0
2024-06-21,27850.0,27850.0,27223.55078125,27403.80078125,59054.0
2024-06-24,27400.05078125,27542.849609375,27086.25,27318.80078125,34949.0
2024-06-25,27400.0,27581.0,27107.650390625,27217.55078125,40713.0
2024-06-26,27155.0,28191.0,27086.25,27498.900390625,58935.0
2024-06-27,27480.0,28242.0,27479.69921875,27832.44921875,65372.0
2024-06-28,27850.0,28132.400390625,27711.099609375,27870.400390625,38614.0
2024-07-01,27994.0,28614.94921875,27750.0,28353.349609375,59357.0
2024-07-02,28353.400390625,28527.30078125,27607.650390625,27697.75,21261.0
2024-07-03,27899.0,27899.0,27285.900390625,27383.900390625,68891.0
2024-07-04,27548.0,27554.900390625,27170.0,27459.05078125,40849.0
2024-07-05,27445.0,27573.900390625,27297.599609375,27528.69921875,16956.0
2024-07-08,27510.0,27549.599609375,26951.94921875,27193.25,21059.0
2024-07-09,27340.0,27850.0,27207.0,27776.30078125,32653.0
2024-07-10,27776.30078125,27967.94921875,27324.30078125,27905.44921875,42280.0
2024-07-11,27877.80078125,28001.0,27600.19921875,27772.599609375,14648.0
2024-07-12,27791.0,27885.0,27466.0,27665.5,17752.0
2024-07-15,27555.0,27835.69921875,26811.05078125,27616.849609375,65384.0
2024-07-16,27747.0,28683.19921875,27647.44921875,27906.80078125,99512.0
2024-07-18,27800.0,28197.0,27672.19921875,28061.599609375,30733.0
2024-07-19,27852.0,27998.099609375,27107.94921875,27284.150390625,46732.0
2024-07-22,27207.099609375,27993.0,27001.0,27919.80078125,30476.0
2024-07-23,27801.0,28395.0,27605.44921875,28162.19921875,90200.0
2024-07-24,27971.0,28099.900390625,27251.150390625,27552.0,40236.0
2024-07-25,27499.94921875,27587.44921875,27200.0,27484.349609375,20756.0
2024-07-26,27651.0,27870.0,27320.44921875,27566.75,25287.0
2024-07-29,27800.0,27800.0,27155.0,27237.900390625,75146.0
2024-07-30,27414.55078125,27490.0,26960.099609375,27314.349609375,54585.0
2024-07-31,27360.5,27813.400390625,27312.30078125,27740.44921875,51103.0
2024-08-01,27825.0,27899.80078125,27488.05078125,27768.5,29621.0
2024-08-02,27555.55078125,27796.0,27052.599609375,27295.349609375,39746.0
2024-08-05,27000.0,27049.900390625,26376.05078125,26834.80078125,75142.0
2024-08-06,26945.0,27092.599609375,26010.0,26101.349609375,155613.0
2024-08-07,26100.0,26694.94921875,24966.0,25098.599609375,325580.0
2024-08-08,25050.0,25050.0,24027.44921875,24143.400390625,251869.0
2024-08-09,24519.80078125,24575.0,23850.0,24296.599609375,100935.0
2024-08-12,24310.0,24456.400390625,24008.44921875,24408.349609375,96808.0
2024-08-13,24500.0,24509.25,24140.05078125,24205.94921875,41826.0
2024-08-14,24209.44921875,24464.94921875,24011.099609375,24338.94921875,51638.0
2024-08-16,24375.0,24700.05078125,24279.75,24642.849609375,39023.0
2024-08-19,24830.30078125,24965.900390625,24699.0,24848.94921875,28455.0
2024-08-20,24960.0,24960.0,24600.0,24730.55078125,24733.0
2024-08-21,24757.69921875,24892.44921875,24672.5,24808.05078125,11582.0
2024-08-22,24850.0,25224.94921875,24800.44921875,25012.400390625,25066.0
2024-08-23,25082.400390625,25100.0,24637.900390625,24706.05078125,28796.0
2024-08-26,24751.0,24933.80078125,24602.19921875,24906.44921875,16730.0
2024-08-27,24906.44921875,25049.75,24730.05078125,24813.19921875,23212.0
2024-08-28,24820.0,24900.0,24605.650390625,24692.19921875,20949.0
2024-08-29,24705.55078125,24889.599609375,24540.05078125,24821.349609375,41631.0
2024-08-30,24811.0,25561.900390625,24810.0,25482.0,83409.0
